;price;totsp;livesp;kitsp;dist;metrdist;walk;brick;floor;code;class
722;152;95;62;10;12.7;5;1;0;1;5;2
723;185;80;45;13;12;5;0;0;1;8;3
724;145;75;46;10;7;10;0;0;1;4;3
725;77;61;45;6;13.5;5;0;0;0;6;1
726;106;68;47;8;13.5;7;0;0;1;6;2
727;102;76;46;10;12;15;0;0;0;7;1
729;75;51;36;6;17;5;0;0;1;2;2
730;89;60;44;6;10.5;3;1;0;1;7;2
731;135;81;53;8;11.5;4;1;1;1;6;2
734;108;73;51;8;12.5;15;0;1;1;3;2
735;114;79;45;13;14.5;7;0;0;1;3;1
736;95;64;39;8;12.5;10;1;0;0;2;2
737;230;109;58;18;12.7;2;1;0;1;5;3
739;168;104;60;16;12;10;1;0;1;1;2
740;85;57;37;5;12;7;0;0;1;8;2
741;170;80;50;8;9;15;0;1;1;3;3
742;87;56;35;6;12;7;1;0;1;8;2
746;80;61;44;7;12;5;0;0;1;7;1
747;89;60;45;6;13.5;10;0;0;1;1;2
748;112;77;45;10;10;7;0;0;1;6;1
749;160;93;57;12;12.7;5;1;0;1;5;2
750;118;83;44;10;12.7;10;1;0;1;5;1
751;115;75;47;10;13;10;1;0;1;5;2
752;165;84;57;9;10.5;7;1;0;0;3;3
753;90;57;40;5;13.5;10;1;1;1;1;2
754;160;82;54;8;9;7;1;1;1;4;3
755;97;55;35;6;9;7;0;0;1;4;2
757;162;90;53;13;10;7;1;1;1;6;3
758;212;119;70;17;9;5;0;1;1;4;3
759;190;72;46;10;9;5;1;1;1;4;3
760;120;80;52;14;12;7;1;0;1;5;2
761;94;61;38;9;12;5;0;0;1;7;2
762;145;73;43;11;9;10;0;0;1;4;3
764;90;60;40;7;13.5;9;1;0;1;6;2
765;79;54;35;5;12.5;10;0;1;1;3;1
766;82;61;40;6;13.5;10;0;0;1;1;1
767;140;83;53;12;12;15;0;0;1;7;2
768;105;77;45;10;14.5;10;0;0;1;3;1
770;280;145;66;16;12.7;3;1;0;0;5;3
771;92;59;41;6;11;10;1;1;1;8;2
772;80;58;38;7;13.5;5;0;0;1;6;1
773;110;65;45;7;13.5;7;1;0;1;1;2
774;160;98;52;12;10;7;1;0;1;6;2
775;120;77;45;10;13.5;5;0;0;1;6;2
777;147;111;65;16;14.5;6;0;1;1;3;1
778;96;60;45;6;15.5;5;1;0;1;1;2
779;75;65;45;7;14.5;10;0;0;1;3;1
780;125;90;54;8;12;15;0;0;1;7;1
781;125;80;47;10;12;15;0;0;1;7;2
782;87;64;45;9;15.5;12;1;0;0;1;1
783;115;76;45;11;12;5;1;0;1;1;2
784;200;100;66;21;9;15;1;1;1;3;3
785;115;84;53;12;12.7;15;1;0;1;5;1
786;120;64;46;6;7;3;1;0;1;4;3
787;107;64;44;9;15.5;5;1;0;1;1;2
789;94;60;44;6;15.5;5;1;0;1;1;2
791;110;66;45;10;11.5;10;1;0;1;6;2
792;107;75;53;9;11.5;10;1;1;0;6;1
793;77;60;43;6;12;6;0;0;1;7;1
794;96;65;45;7;12.5;15;1;1;1;2;2
795;118;78;46;10;13.5;10;1;0;1;6;2
796;95;66;44;10;14.5;7;0;0;1;3;1
797;123;77;45;10;17;7;1;0;1;2;2
798;110;70;40;6;12;2;1;1;0;8;2
799;162;90;61;10;10.5;3;1;1;1;3;3
800;85;58;45;6;10;3;1;0;1;6;1
802;125;80;45;13;12;5;0;1;1;5;2
803;78;52;35;6;12;10;1;0;1;7;2
804;109;75;45;10;13.5;5;1;0;0;1;1
805;230;110;52;17;11.5;5;1;1;1;6;3
806;85;59;42;6;10.5;7;0;0;0;3;1
807;125;76;45;10;13.5;10;0;0;1;6;2
808;130;73;41;10;12;5;0;0;1;7;3
810;200;102;73;10;9;7;1;0;1;3;3
811;73;51;34;6;12;7;1;0;0;5;1
812;94;61;44;6;12.5;3;1;0;1;2;2
813;134;84;52;8;12;7;1;1;1;8;2
814;140;76;44;10;12.5;5;1;0;1;2;3
815;108;66;44;9;12;5;1;0;1;7;2
816;94;65;45;7;17;10;1;0;0;2;1
818;92;66;44;9;11.5;7;1;0;0;6;1
819;155;85;47;11;12.7;5;1;0;1;5;3
820;108;81;48;8;13;15;0;0;1;5;1
821;108;66;43;7;17;2;1;0;1;4;2
822;135;76;50;8;10.5;15;1;0;1;3;2
823;135;77;50;8;10.5;10;0;1;1;3;2
824;100;57;43;5;11.5;10;1;1;1;6;2
825;170;75;48;7;7.5;3;1;1;1;3;3
826;87;61;43;6;12;15;1;0;1;7;1
827;94;62;38;8;17;3;1;0;1;4;2
829;223;63;38;7;7.5;3;1;1;1;3;3
832;125;77;40;11;13;10;0;1;1;5;2
833;120;68;47;8;12.5;5;0;0;0;3;2
834;85;60;43;10;13;7;0;0;0;5;1
836;115;69;46;6;12;5;1;1;1;8;2
837;95;75;43;11;14.5;10;0;0;1;3;1
838;125;83;48;9;12;3;1;0;1;5;2
839;109;66;46;8;15.5;5;1;0;1;1;2
840;167;113;64;13;14.5;5;0;1;1;3;2
841;190;77;54;9;9;5;0;1;1;3;3
842;158;88;61;9;10.5;15;1;1;1;3;3
843;151;102;70;9;10.5;12;1;1;1;7;2
844;160;77;48;8;12;7;1;1;0;8;3
846;87;58;45;5;10;3;1;0;1;6;2
847;95;76;45;10;14.5;10;0;0;1;3;1
848;170;102;58;12;13;5;1;0;1;5;2
849;110;75;53;10;10.5;15;1;0;0;7;1
850;180;83;53;8;10.5;5;1;0;1;3;3
852;92;60;44;6;12.5;15;1;0;0;2;2
853;149;95;57;8;10.5;15;0;1;1;3;2
854;95;61;43;6;14.5;5;1;0;1;2;2
855;130;67;46;7;9;5;1;1;1;4;3
856;92;63;38;8;12;10;0;0;1;8;1
857;96;60;45;6;12;10;1;0;1;7;2
858;93;59;38;6;13.5;7;1;0;0;6;2
859;103;64;40;8;10.5;10;0;0;0;3;2
860;112;79;47;10;17;10;1;0;1;4;1
861;94;63;38;8;17;12;1;0;0;2;2
862;156;70;48;7;9;2;1;1;1;4;3
864;185;78;53;8;7.5;15;1;1;1;8;3
865;98;60;44;6;14.5;15;1;0;1;3;2
866;113;80;48;8;12;10;1;0;1;5;1
868;99;65;44;7;10.5;5;1;0;1;3;2
869;87;63;45;6;10;10;1;0;0;6;1
870;73;51;34;6;13.5;10;1;0;1;6;1
871;220;148;85;14;14.5;7;0;1;1;3;2
872;185;76;43;10;8;10;1;0;1;1;3
873;150;85;57;10;9;7;1;1;0;3;2
874;115;75;42;8;12;15;0;0;1;7;2
876;125;83;48;9;12;3;1;0;1;5;2
877;113;85;53;12;12.7;10;0;0;0;5;1
878;105;66;46;11;12;7;1;0;0;5;2
880;250;100;50;15;12.7;5;1;0;1;5;3
881;97;76;45;10;12;10;1;1;1;5;1
883;161;108;60;13;14.5;10;0;1;1;3;2
884;110;77;46;9;15.5;3;1;0;1;1;1
885;145;90;52;9;12;15;1;1;0;7;2
886;470;146;86;16;14.5;5;1;1;1;3;3
887;113;75;45;10;13;10;1;0;1;5;2
888;260;107;58;14;13;1;1;0;1;5;3
890;100;75;45;10;13;5;0;0;1;5;1
892;163;115;66;15;13.5;10;0;0;1;1;1
893;136;74;45;10;10;15;1;0;0;6;3
894;89;59;38;6;12;15;1;0;1;7;2
895;125;76;45;10;15.5;10;0;0;1;1;2
897;123;66;43;8;10;5;1;1;1;6;3
898;115;80;48;12;12.7;5;0;0;1;5;1
899;129;66;44;9;9;15;1;0;0;4;3
900;104;72;48;9;10.5;10;1;0;0;3;1
901;89;79;52;10;15.5;10;1;0;1;1;1
902;145;71;43;8;9;5;1;1;0;3;3
903;100;75;45;10;12;10;1;1;1;5;1
905;93;59;44;5;14.5;10;1;0;1;3;2
906;87;58;38;6;12;15;1;0;0;8;2
909;85;61;45;6;13.5;15;1;0;1;6;1
910;109;79;45;13;14.5;5;0;0;1;3;1
911;180;81;53;9;8;7;1;1;0;1;3
912;80;56;37;6;12;10;1;1;0;8;1
913;185;75;48;10;7;3;1;1;1;4;3
914;110;71;43;10;14.5;20;0;0;1;3;2
915;87;59;44;6;13.5;10;1;0;1;1;2
917;112;74;44;11;12.7;10;1;0;1;5;2
918;103;70;44;10;15.5;7;1;0;1;1;2
920;107;67;46;8;13.5;7;0;0;1;1;2
921;120;75;45;10;14.5;10;0;0;1;3;2
922;83;55;38;7;11;10;1;1;0;8;2
923;100;60;39;9;15.5;10;1;0;1;1;2
924;127;79;46;10;17;5;1;0;1;2;2
926;210;71;45;15;9;1;1;1;1;4;3
927;74;51;35;6;13.5;10;1;0;0;6;1
928;155;77;50;8;8;5;0;1;1;1;3
930;130;60;42;7;9;10;1;1;0;3;3
931;144;66;45;8;9;7;1;1;1;3;3
932;102;58;41;6;11;5;1;1;1;8;2
934;116;85;45;10;12;15;0;0;1;7;1
935;105;78;54;9;11;10;1;1;1;5;1
936;89;64;39;8;14.5;5;0;0;0;2;1
937;128;85;52;10;14.5;10;0;0;0;3;2
939;120;68;45;8;10.5;5;0;0;1;3;2
940;105;68;41;8;17;5;1;0;0;2;2
942;110;76;45;10;14.5;10;0;0;1;3;1
943;75;51;34;6;14.5;7;0;0;1;3;2
944;92;60;45;6;15.5;5;1;0;1;1;2
945;129;99;55;11;10.5;15;1;0;0;3;1
946;105;55;40;6;9;7;0;0;1;4;3
947;80;50;34;6;11.5;10;1;0;1;6;2
948;132;78;46;10;12.5;12;1;0;0;2;2
949;105;75;42;8;13.5;10;0;0;1;6;1
950;92;68;44;10;10.5;10;0;0;1;7;1
951;101;65;44;8;11.5;7;1;0;1;6;2
952;81;54;36;6;10;10;1;0;1;6;2
953;140;68;47;8;9;5;1;1;1;4;3
956;127;82;50;10;10.5;7;0;0;0;3;2
957;112;74;52;7;11;5;1;1;0;8;2
958;160;80;52;9;7.5;7;1;1;0;3;3
959;130;78;46;11;13.5;10;1;0;1;1;2
960;125;77;44;10;14.5;7;1;0;1;2;2
961;82;70;40;8;17;7;0;0;1;2;1
962;158;78;51;8;9;7;1;1;1;4;3
963;140;75;40;11;13;5;0;0;1;5;3
965;110;67;45;8;13.5;5;0;0;1;1;2
966;120;64;43;7;9;5;0;0;1;4;3
967;730;134;102;10;9;10;1;1;1;4;3
968;100;77;45;8;12;15;0;0;0;7;1
969;77;59;38;6;12;10;0;1;0;7;1
970;130;79;44;10;13.5;10;0;0;1;6;2
971;150;71;44;9;8;5;1;1;1;1;3
973;87;60;43;6;12;5;0;0;1;7;1
974;79;57;43;6;10.5;10;0;1;1;3;1
975;156;79;54;8;9;10;1;1;1;3;3
977;102;65;44;7;15.5;5;1;0;1;1;2
979;90;66;43;9;15.5;10;1;0;0;1;1
980;310;100;62;17;4.5;15;1;0;1;8;3
981;155;60;40;8;7.5;5;1;1;1;3;3
982;130;70;45;9;10.5;15;1;0;1;3;3
983;122;75;46;11;13.5;15;1;0;1;6;2
984;210;79;53;8;7;5;1;1;1;4;3
985;83;52;34;6;14.5;10;0;0;0;3;2
986;90;63;44;6;17;5;1;0;1;2;1
987;95;63;39;8;17;1;1;0;1;2;2
988;78;56;39;6;12;5;1;1;0;7;1
989;115;74;45;10;12.7;15;1;0;1;5;2
990;110;67;41;9;13.5;10;0;0;0;6;2
991;86;58;38;6;11.5;7;1;0;1;6;2
992;107;57;41;6;12.5;10;1;1;1;3;3
993;80;60;45;6;13.5;5;0;0;1;6;1
994;93;58;42;6;12;5;0;1;0;7;2
995;98;64;43;7;12;15;1;0;1;7;2
997;95;72;43;12;12.7;7;0;0;0;5;1
998;170;106;64;13;12;15;1;0;1;8;2
1000;140;68;46;7;9;10;1;0;1;4;3
1001;200;100;60;12;7;7;0;0;1;4;3
1002;82;60;41;6;11.5;5;1;1;1;6;1
1003;130;76;46;11;13;5;0;0;1;5;2
1004;87;60;43;6;13.5;10;0;0;1;6;1
1005;99;60;44;6;12.5;10;1;0;1;2;2
1006;100;72;42;10;14.5;20;0;0;0;3;1
1007;93;59;39;6;15.5;10;1;0;1;1;2
1008;83;56;37;6;10;15;1;0;1;6;2
1009;138;79;47;10;7;10;0;0;1;4;2
1010;133;85;50;9;12;10;0;0;1;7;2
1012;150;76;50;8;9;7;1;1;1;4;3
1013;170;80;46;10;10;5;1;0;0;6;3
1014;110;57;40;5;7.5;7;1;1;0;3;3
1016;110;71;44;8;15.5;7;0;0;1;1;2
1017;95;65;46;8;13.5;7;0;0;0;6;1
1018;115;57;38;8;12;5;1;0;1;7;3
1019;150;78;46;10;9;10;0;0;1;4;3
1021;75;55;39;6;10;10;1;0;0;6;1
1022;125;78;45;10;12;7;0;0;1;7;2
1023;114;74;44;11;12.7;10;1;0;1;5;2
1024;97;68;46;8;12;5;1;0;1;5;1
1025;95;72;44;10;12.7;10;1;0;0;5;1
1026;130;79;45;10;12;5;1;0;1;5;2
1027;94;64;45;7;14.5;3;1;0;1;2;1
1028;160;80;54;9;9;10;1;1;1;3;3
1029;180;91;58;8;11;2;0;1;1;8;3
1030;100;65;39;8;14.5;10;0;0;1;2;2
1031;105;65;40;7;17;10;1;0;0;2;2
1032;110;75;45;10;12.7;10;1;0;1;5;1
1033;108;69;36;9;12.5;5;0;0;0;3;2
1034;92;57;40;6;12.5;2;1;1;1;3;2
1035;92;61;44;6;12.5;5;1;0;1;2;2
1036;181;86;51;11;10.5;10;0;0;0;3;3
1037;128;57;38;6;9;5;1;1;1;3;3
1040;105;76;40;11;12.7;5;0;0;1;5;1
1041;95;77;45;10;13;5;0;0;1;5;1
1042;92;58;42;6;13.5;7;1;1;1;1;2
1043;120;65;38;7;11;10;1;1;1;8;3
1044;85;56;42;6;12;10;1;1;1;8;2
1045;99;58;39;7;7.5;5;1;0;1;3;2
1047;128;77;47;12;11;7;1;0;1;5;2
1048;114;75;45;10;12.7;15;0;0;1;5;2
1049;135;72;49;8;8;5;0;1;1;1;3
1050;163;73;48;9;7.5;5;0;1;1;8;3
1051;160;80;51;13;7.5;5;1;1;1;8;3
1052;85;67;46;6;12;15;1;0;1;5;1
1053;85;60;38;6;17;7;1;0;0;2;1
1055;110;68;45;6;12.5;10;1;0;1;2;2
1056;460;153;84;18;9;5;1;1;1;4;3
1057;98;58;42;6;12;10;1;1;1;8;2
1058;100;83;53;10;12;15;0;0;0;7;1
1059;117;85;44;10;12;10;0;0;1;7;1
1061;108;76;45;10;12;10;0;1;0;7;1
1062;91;60;45;6;10.5;5;0;0;1;3;2
1063;145;74;43;10;12.5;10;1;0;1;2;3
1066;82;60;42;6;12.5;10;1;0;0;2;1
1067;143;80;47;9;12.5;3;1;0;1;2;3
1068;227;104;54;10;10.5;8;1;0;1;3;3
1069;120;64;43;6;11.5;2;1;1;1;6;3
1070;105;53;36;5;7.5;10;1;1;0;3;3
1071;105;72;43;10;13;10;1;0;0;5;1
1072;83;55;37;6;12;5;1;1;1;7;2
1073;95;65;45;7;15.5;7;1;0;1;1;1
1074;85;61;45;6;13.5;10;1;0;1;6;1
1075;117;80;53;8;11.5;10;0;1;0;6;1
1077;105;61;40;8;12;3;1;0;1;5;2
1078;107;77;46;10;12;10;1;0;1;5;1
1079;164;79;51;9;7;5;0;0;1;4;3
1080;113;63;42;9;7;5;0;0;1;4;3
1081;180;78;52;8;9;1;1;1;1;3;3
1082;79;51;34;6;13.5;10;1;0;1;6;2
1083;110;76;50;8;13;10;1;0;1;5;1
1084;150;66;47;9;7;3;1;0;1;4;3
1085;142;125;66;19;10.5;10;1;0;1;7;1
1086;99;58;44;6;10.5;10;1;0;1;3;2
1087;127;81;49;8;12;5;1;0;1;5;2
1088;80;52;35;6;14.5;12;0;0;1;3;2
1089;72;60;42;6;11.5;10;0;1;0;6;1
1090;119;80;45;13;14.5;5;0;0;1;3;2
1091;131;80;46;13;12;7;1;0;0;1;2
1092;119;80;48;10;12.7;12;1;0;1;5;2
1093;119;66;45;8;7;7;0;1;0;4;3
1096;117;70;39;8;12.5;12;1;1;1;2;2
1097;140;75;46;9;10.5;10;0;0;1;3;3
1098;120;80;50;8;10.5;5;0;1;1;3;2
1099;79;52;37;6;12;7;0;0;0;7;2
1100;140;67;46;8;8;5;1;0;0;1;3
1101;88;60;42;6;11;10;1;1;1;5;1
1102;120;75;45;10;13.5;10;0;0;1;6;2
1103;85;57;40;6;14.5;10;0;1;1;2;2
1104;115;73;52;9;10.5;15;1;1;1;3;2
1106;150;106;63;12;13.5;10;0;0;1;6;1
1107;107;74;45;10;14.5;15;0;0;1;3;1
1108;150;70;50;9;7.5;7;1;1;1;3;3
1109;130;77;48;10;17;5;1;0;1;2;2
1110;309;107;72;17;10.5;1;1;1;1;3;3
1111;135;80;47;9;12;7;0;0;1;5;2
1112;110;75;44;10;17;5;0;0;0;2;1
1113;209;99;63;9;9;10;1;1;1;3;3
1114;83;60;44;6;17;10;1;0;1;4;1
1115;108;76;46;10;12;10;1;0;1;5;1
1116;98;63;39;7;14.5;10;0;0;0;3;2
1117;125;76;47;11;11;7;1;0;1;5;2
1118;180;90;56;11;9;15;1;0;0;3;3
1120;252;132;74;23;12.5;3;1;1;0;3;3
1121;155;75;45;10;9;15;1;0;1;4;3
1122;212;112;60;17;7;10;1;0;1;4;3
1123;95;64;45;7;14.5;10;1;0;1;2;2
1125;126;79;44;13;10.5;10;0;0;1;3;2
1127;153;80;40;25;10.5;10;0;0;1;3;3
1128;78;51;34;6;13;5;0;0;1;5;2
1129;123;74;48;10;12.5;15;1;0;1;2;2
1130;108;66;43;11;13.5;10;1;0;1;6;2
1132;78;55;37;6;10.5;7;1;0;1;7;1
1133;130;64;35;6;9;1;1;1;1;4;3
1134;92;63;39;8;14.5;5;0;0;0;2;1
1135;128;80;45;13;12;15;1;0;1;5;2
1136;160;98;50;12;10;10;1;0;1;6;2
1137;115;66;40;8;12.5;5;1;0;0;2;2
1139;150;78;50;9;9;5;1;1;1;4;3
1140;130;87;57;7;13.5;7;1;1;0;1;2
1142;70;52;34;6;12;10;1;0;0;7;1
1143;110;73;45;10;15.5;10;1;0;1;1;2
1144;105;77;40;10;12;15;0;0;1;7;1
1145;130;75;45;10;12;10;0;0;1;8;2
1148;108;66;43;7;17;5;1;0;1;4;2
1150;85;60;43;7;12;5;0;0;1;7;1
1151;110;80;46;10;12;15;0;0;1;7;1
1152;110;68;46;8;13.5;10;0;0;1;6;2
1153;97;58;42;5;12.5;15;1;1;1;3;2
1154;90;65;46;7;14.5;5;1;0;1;2;1
1155;88;60;44;6;17;7;0;0;1;4;1
1156;110;75;43;10;13.5;15;0;0;1;6;1
1157;285;90;61;6;14.5;10;1;0;1;3;3
1159;110;74;44;10;13.5;15;0;0;1;6;2
1160;135;74;42;10;7.5;5;1;1;1;8;3
1162;142;90;51;12;12;10;0;1;1;7;2
1164;210;72;49;7;7.5;5;1;1;1;3;3
1165;110;60;40;7;9;7;0;1;1;3;3
1166;371;120;59;15;7;10;0;0;1;4;3
1167;135;65;39;7;12;15;0;0;0;7;3
1168;143;74;45;11;11;5;1;0;1;5;3
1170;165;75;45;10;12.5;5;1;0;1;2;3
1171;159;109;64;13;14.5;10;0;1;1;3;1
1173;108;67;45;8;14.5;5;0;0;1;2;2
1174;94;61;44;6;12.5;10;1;0;1;2;2
1175;80;54;35;6;12;8;1;1;0;7;2
1176;75;56;38;6;10;7;1;0;1;6;1
1177;109;79;45;13;14.5;7;0;1;1;3;1
1178;99;65;46;6;17;7;1;0;1;2;2
1179;97;77;47;9;14.5;10;1;0;0;2;1
1181;95;61;38;8;11.5;7;1;0;1;6;2
1182;127;73;43;11;13;5;1;1;1;5;2
1183;135;81;48;8;15.5;7;1;0;1;1;2
1184;86;58;44;6;17;5;1;0;1;4;2
1185;162;71;49;9;9;10;1;1;1;3;3
1187;115;74;45;10;13;15;1;0;1;5;2
1188;105;63;39;8;12.5;10;1;0;1;2;2
1189;120;76;45;10;12;10;0;0;1;7;2
1190;98;65;44;9;14.5;7;0;0;1;3;2
1193;88;63;37;8;13;5;0;0;1;5;1
1194;90;55;36;6;12.5;10;1;0;1;3;2
1196;130;68;41;10;10.5;5;0;0;1;3;3
1198;200;78;50;7;8;10;1;1;1;1;3
1199;126;80;46;13;14.5;5;0;0;1;3;2
1200;85;58;41;7;14.5;10;0;0;1;2;1
1201;85;58;37;6;13.5;15;0;0;1;1;1
1202;105;53;36;5;7.5;10;1;1;0;3;3
1203;140;75;54;8;12;5;1;1;0;8;3
1205;129;80;48;10;12.7;7;1;0;1;5;2
1206;170;80;53;9;8;3;1;0;1;1;3
1207;115;80;45;10;13.5;10;0;0;1;6;1
1208;81;59;42;6;12;10;1;1;1;1;1
1209;105;75;45;10;13;10;0;0;1;5;1
1210;94;64;45;6;12.5;12;1;0;1;2;1
1212;127;74;53;8;11;10;1;1;1;8;2
1214;145;75;45;10;7;15;1;0;1;4;3
1215;98;75;50;8;11.5;5;0;0;1;6;1
1216;113;69;47;8;17;3;1;0;1;4;2
1218;113;78;47;10;12;10;1;0;1;5;1
1220;100;64;41;7;12;5;1;0;1;7;2
1222;135;80;51;13;13.5;5;0;0;1;1;2
1223;95;62;43;7;12;7;1;0;1;5;2
1225;118;68;49;11;7.5;7;1;0;0;8;2
1226;93;65;39;8;12.5;7;0;0;1;2;1
1229;85;55;40;6;12.5;7;1;1;0;8;2
1230;139;86;51;10;10.5;7;0;0;1;7;2
1231;114;93;51;12;10;7;1;0;0;6;1
1232;101;66;39;8;17;10;1;0;1;2;2
1233;98;64;43;7;17;5;0;0;1;2;2
1235;119;77;40;10;12.7;5;0;0;1;5;2
1237;79;58;41;6;12.5;5;0;0;0;3;1
1239;142;77;44;10;7;10;0;0;1;4;3
1240;127;65;43;7;9;5;0;0;1;4;3
1241;190;85;53;12;12;3;1;0;0;5;3
1242;160;79;54;9;7;3;1;0;1;4;3
1243;86;58;43;6;17;5;1;0;1;4;2
1244;99;62;45;6;13.5;10;1;0;1;6;2
1245;73;54;35;5;10.5;3;1;1;0;7;1
1246;138;77;45;11;10.5;10;1;0;1;7;3
1248;103;67;43;9;15.5;7;1;0;1;1;2
1249;107;75;44;10;12.7;10;1;0;1;5;1
1250;110;78;48;14;12;10;1;0;1;5;1
1251;109;67;45;11;13.5;5;0;0;1;1;2
1252;120;77;48;8;12;15;1;1;1;8;2
1253;94;64;45;6;17;15;1;0;1;2;1
1254;117;78;45;11;13;10;0;0;1;5;2
1256;92;63;38;8;12;10;0;0;1;7;1
1257;93;57;43;5;12.5;15;1;1;1;3;2
1258;103;78;54;11;12;15;1;1;0;5;1
1260;95;63;39;8;12;10;1;0;1;7;2
1262;120;78;43;12;14.5;15;0;0;1;3;2
1265;89;64;45;6;12.5;15;1;0;1;2;1
1266;108;80;48;8;12;10;0;0;1;7;1
1267;96;60;43;6;13.5;10;1;0;1;6;2
1268;110;74;53;8;11;15;1;1;0;8;2
1269;129;79;47;8;10.5;15;1;0;1;7;2
1270;85;69;48;6;12;10;0;0;1;7;1
1271;96;60;45;6;10.5;15;1;0;1;3;2
1272;122;79;48;10;12.7;12;1;0;1;5;2
1273;200;90;60;10;12;10;1;1;1;7;3
1274;104;80;45;13;13;5;0;0;1;5;1
1275;145;96;56;9;11;15;1;1;0;8;2
1276;120;74;53;8;10.5;10;1;1;1;7;2
1278;135;75;43;11;12.7;15;1;0;1;5;3
1280;96;60;45;6;12;5;0;0;1;7;2
1281;100;75;45;10;13.5;5;1;0;0;1;1
1282;82;55;36;6;10;7;1;0;0;6;2
1284;108;78;47;10;12;3;1;0;0;5;1
1285;83;50;34;6;15.5;5;0;0;1;1;2
1286;131;78;46;10;17;5;1;0;1;2;2
1288;107;56;32;5;7.5;7;1;1;0;3;3
1289;88;60;44;6;12;10;0;0;0;7;1
1290;104;77;45;10;12.7;15;1;0;0;5;1
1291;160;93;59;6;12.5;15;1;1;1;8;2
1292;89;60;38;6;13.5;7;1;0;1;6;2
1293;171;96;50;18;7;5;1;0;1;4;3
1294;84;60;45;6;13.5;7;0;0;1;6;1
1295;138;79;47;10;7;10;1;0;1;4;2
1296;70;58;41;6;14.5;10;0;1;1;3;1
1297;165;78;54;8;9;10;1;1;1;3;3
1298;130;65;44;9;9;5;1;0;1;4;3
1299;139;74;52;9;10.5;7;1;0;1;7;3
1300;140;81;55;8;9;7;0;1;0;3;2
1301;91;60;44;6;14.5;7;1;0;1;2;2
1302;83;60;38;9;12;10;1;0;0;5;1
1303;85;57;39;6;11.5;7;1;0;0;6;2
1305;80;68;42;8;13.5;7;1;0;0;6;1
1306;85;58;40;5;14.5;10;0;1;1;2;1
1307;135;72;43;9;10.5;15;1;0;0;3;3
1308;197;101;60;15;7;7;0;1;1;4;3
1310;165;65;45;9;9;10;1;1;1;3;3
1311;87;58;44;5;10.5;5;1;0;1;7;2
1314;140;77;46;10;8;10;1;0;1;1;3
1315;104;67;43;11;12;15;1;0;1;7;2
1317;142;77;44;10;7;10;0;0;1;4;3
1319;160;75;47;10;9;10;1;1;0;3;3
1320;115;80;54;12;12.7;5;0;0;1;5;1
1322;317;135;70;20;9;2;1;0;1;3;3
1324;124;96;52;10;13.5;5;1;0;1;1;1
1326;135;65;38;8;7.5;10;1;1;1;3;3
1327;85;55;35;6;12;10;1;0;1;8;2
1328;103;64;45;7;13.5;15;1;0;1;1;2
1329;85;60;40;7;12;5;0;0;1;7;1
1330;160;72;50;9;7.5;5;0;1;1;8;3
1331;350;90;62;12;10.5;5;0;0;1;3;3
1332;101;55;38;6;7;10;1;0;0;4;3
1333;143;82;45;10;12;10;1;0;1;5;2
1334;80;51;34;6;13.5;15;0;0;1;1;2
1335;123;75;45;10;12.7;10;1;0;1;5;2
1336;215;67;42;9;7.5;3;1;1;1;3;3
1338;90;59;45;6;12;5;0;0;0;8;2
1341;125;75;46;10;14.5;7;0;0;1;3;2
1342;115;74;48;11;13;15;1;0;1;5;2
1343;71;49;34;6;10;10;1;0;1;6;1
1344;85;60;43;6;12;5;1;1;1;7;1
1345;150;80;53;8;9;3;1;1;1;4;3
1346;180;71;47;7;7.5;10;1;1;1;3;3
1347;130;109;51;16;13.5;10;0;1;1;6;1
1349;97;64;45;7;13.5;10;1;0;1;1;2
1350;107;75;45;9;13;15;1;0;1;5;1
1351;115;79;47;11;12;10;1;0;1;5;1
1352;156;70;48;7;9;2;1;0;1;4;3
1354;115;77;44;7;12;10;1;1;1;8;2
1356;240;81;54;8;9;3;1;1;0;3;3
1357;155;73;49;9;10.5;15;1;1;1;3;3
1358;130;77;45;10;12;7;1;0;1;5;2
1362;89;65;40;8;13;7;0;0;1;5;1
1364;110;66;43;7;13.5;15;0;0;1;1;2
1366;190;78;46;10;8;10;1;1;1;1;3
1367;260;80;46;12;9;2;1;1;1;4;3
1368;74;53;34;6;10.5;7;0;1;0;3;1
1369;190;100;50;16;7;10;1;0;1;5;3
1370;147;75;45;10;7;15;1;0;1;4;3
1372;93;60;43;6;17;15;0;0;1;2;2
1373;110;75;45;10;12;5;0;1;1;5;1
1374;110;60;37;9;12.5;7;1;0;1;2;3
1375;122;93;52;14;13.5;10;1;0;1;1;1
1376;130;73;47;9;11;10;1;1;1;5;3
1377;86;53;36;7;11.5;5;1;0;0;6;2
1379;85;50;35;6;11;8;0;0;1;8;2
1381;83;53;34;6;14.5;8;0;0;0;3;2
1382;140;73;44;10;10.5;5;1;1;0;3;3
1383;84;58;43;6;14.5;5;0;0;1;3;1
1384;80;56;44;6;11;8;1;1;0;5;1
1385;95;72;43;12;12.7;7;0;0;0;5;1
1386;90;58;42;6;10.5;15;1;1;1;3;2
1387;116;82;44;10;12.7;15;1;0;1;5;1
1388;110;74;45;12;12.7;1;1;0;0;5;2
1390;108;64;40;9;12;10;0;0;1;1;2
1391;100;83;48;10;12;15;0;0;0;7;1
1392;110;80;43;10;12;15;0;0;1;7;1
1393;128;68;50;9;12.5;5;0;0;1;3;3
1395;105;65;47;9;12.5;5;1;0;1;2;2
